Feature,Importance
REG_CITY_NOT_LIVE_CITY,125
PREV_DAYS_TERMINATION_MAX,124
LANDAREA_MODE,122
LIVINGAREA_MEDI,119
OBS_60_CNT_SOCIAL_CIRCLE,119
WEEKDAY_APPR_PROCESS_START,116
YEARS_BUILD_AVG,114
APARTMENTS_MEDI,113
BASEMENTAREA_MEDI,113
NONLIVINGAREA_AVG,111
BURO_MONTHS_BALANCE_MAX_MEAN,111
COMMONAREA_MEDI,109
BURO_MONTHS_BALANCE_MIN_MIN,109
OBS_30_CNT_SOCIAL_CIRCLE,106
LIVINGAPARTMENTS_AVG,100
NONLIVINGAPARTMENTS_MODE,99
AMT_REQ_CREDIT_BUREAU_YEAR,98
LIVINGAPARTMENTS_MEDI,98
NONLIVINGAPARTMENTS_AVG,95
FLAG_DOCUMENT_18,91
BURO_MONTHS_BALANCE_MIN_SUM,90
YEARS_BUILD_MEDI,88
BURO_AMT_ANNUITY_MIN,87
FLAG_WORK_PHONE,81
ENTRANCES_AVG,81
BURO_AMT_ANNUITY_SUM,80
FLOORSMAX_AVG,80
AMT_REQ_CREDIT_BUREAU_MON,80
ELEVATORS_AVG,78
FLAG_DOCUMENT_16,76
BURO_AMT_CREDIT_SUM_OVERDUE_SUM,76
BURO_MONTHS_BALANCE_MAX_SUM,71
NAME_HOUSING_TYPE,70
FLOORSMAX_MEDI,67
BURO_AMT_CREDIT_SUM_LIMIT_MIN,66
FLOORSMIN_AVG,66
PREV_DAYS_TERMINATION_SIZE,65
BURO_AMT_CREDIT_MAX_OVERDUE_MIN,64
BURO_AMT_CREDIT_SUM_OVERDUE_MAX,58
FLAG_DOCUMENT_13,54
ENTRANCES_MODE,51
NAME_TYPE_SUITE,44
BURO_CNT_CREDIT_PROLONG_MAX,43
WALLSMATERIAL_MODE,43
NONLIVINGAPARTMENTS_MEDI,42
ENTRANCES_MEDI,34
ELEVATORS_MODE,34
PREV_RATE_INTEREST_PRIMARY_MAX,34
FLAG_OWN_CAR,31
FLOORSMAX_MODE,29
ELEVATORS_MEDI,29
BURO_MONTHS_BALANCE_MAX_MAX,27
PREV_HOUR_APPR_PROCESS_START_SIZE,25
REG_CITY_NOT_WORK_CITY,24
REGION_RATING_CLIENT,24
FLAG_OWN_REALTY,24
BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,24
FLAG_PHONE,23
FLOORSMIN_MODE,23
FLAG_DOCUMENT_8,22
PREV_NFLAG_LAST_APPL_IN_DAY_MEAN,21
AMT_REQ_CREDIT_BUREAU_DAY,21
CNT_CHILDREN,18
BURO_CNT_CREDIT_PROLONG_MEAN,18
FLAG_DOCUMENT_11,17
LIVE_CITY_NOT_WORK_CITY,15
FLAG_EMP_PHONE,15
FLOORSMIN_MEDI,11
PREV_RATE_INTEREST_PRIVILEGED_MEAN,11
BURO_CREDIT_DAY_OVERDUE_MEAN,11
PREV_RATE_INTEREST_PRIMARY_MEAN,10
FONDKAPREMONT_MODE,9
PREV_RATE_INTEREST_PRIVILEGED_MAX,9
FLAG_DOCUMENT_15,9
BURO_CREDIT_DAY_OVERDUE_MAX,9
AMT_REQ_CREDIT_BUREAU_WEEK,7
LIVE_REGION_NOT_WORK_REGION,7
PREV_NFLAG_INSURED_ON_APPROVAL_SIZE,6
REG_REGION_NOT_WORK_REGION,5
FLAG_DOCUMENT_5,5
BURO_CREDIT_DAY_OVERDUE_SUM,4
BURO_CNT_CREDIT_PROLONG_SUM,4
HOUSETYPE_MODE,4
PREV_NFLAG_INSURED_ON_APPROVAL_MAX,4
PREV_NFLAG_LAST_APPL_IN_DAY_SIZE,4
REG_REGION_NOT_LIVE_REGION,4
FLAG_DOCUMENT_6,3
FLAG_EMAIL,3
PREV_RATE_DOWN_PAYMENT_SIZE,1
AMT_REQ_CREDIT_BUREAU_HOUR,1
EMERGENCYSTATE_MODE,1
FLAG_DOCUMENT_9,1
FLAG_DOCUMENT_14,1
FLAG_DOCUMENT_17,1
FLAG_DOCUMENT_20,0
PREV_DAYS_FIRST_DRAWING_MAX,0
PREV_DAYS_DECISION_SIZE,0
PREV_CNT_PAYMENT_SIZE,0
PREV_AMT_GOODS_PRICE_SIZE,0
PREV_AMT_DOWN_PAYMENT_SIZE,0
PREV_AMT_CREDIT_SIZE,0
PREV_DAYS_FIRST_DRAWING_SIZE,0
